1,MARCA/MODELO,COR/MILHAR,ANO,ART,DATA,RAI RECUPERAÇÃO,DATA,,,,,,,
0380-KEJ,FIAT/UNO MILLE FIRE,BRANC/0846,44228,155,31/3,18860100,31/03/21,,,,,,,
0382-NGH,HONDA CG 150 TITAN,VERMELH/1789,06/06,155,4/8,15945893,10/08/20,,,,,,,
0384-JHE,GM CLASSIC LIFE,CINZA,44384,157,2/10,21467441,04/10/21,,,,,,,
0399 - KFC,HONDA /C100 BIZ ES,VERM/4780,44258,155,26/11,22280623,26/11/21,,,,,,,
0400-NWB,RENAULT/ SANDERO (INTERLÂNDIA),BRANCA/7389,43748,157,10/5,10315329,11/05/19,,,,,,,
0406-PQZ,HONDA/CG 160 FAN ,VERM/9978,16/16,155,16/6,19904214,17/06/21,,,,,,,
0417-NFK,YAMAHA/YBR 125,VERMELHA/0737,43194,155,29/11,10115932,26/04/19,,,,,,,
0433-NYQ,HONDA/CG 150 TITAM ,PRETA/3448,2011,157,18/6,10828391,19/06/19,,,,,,,
0434-GOT,FIAT/PREMIO SL IE,VERDE/ 9708,92/92,155,23/5,19558900,24/05/21,,,,,,,
0440-JEG,VW/FOX 1.6 GII ,PRATA/1724,12/13,157,1/2,9130733,02/02/19,,,,,,,
0450-OVU,FIAT/STRADA ADVENTURE,VERM/6315,14/14,157,2/10,7878350,02/10/18,,,,,,,
0453-ONF,HONDA/ POP 100,PRETA/4539,12/12,155,17/08,37458598,,,,,,,,
0453-ONQ,HONDA/ BIZ 125 EX,BRANCA/3564,14/14,155,13/7,15630004,13/07/20,,,,,,,
0481-MVZ,FIAT/UNO VIVACE 1.0,PRETA/ 2466,10/11,155,14/10,26927038,14/10/22,,,,,,,
0485-NWI,JTA/SUZUKI EN125 YES,PRATA/7198,44520,155,21/12,22594337,21/12/21,,,,,,,
0496-JUR,FORD/FIESTA SEDAN 1.6,PRETA/5713,45543,155,22/10,38462345,24/10/24,,,,,,,
0510-NIZ,HONDA/BIZ 125,PRETA/5997,44415,155,25/12,22815938,07/01/22,,,,,,,
0539-JTE,HONDA/CG 125 TODAY,AZUL/1696,94/94,155,11/11,22118100,20/11/21,,,,,,,
0540-JGX,VW/PARATI 1.6 SURF,PRETA/1444,08/09,157,09/10,7176086,09/10/2022,,,,,,,
0557-OVM,I/CHERY QQ 1.1,VERM/7949,13/13,155,26/12,22669868,27/12/21,,,,,,,
0558-QLW,CHEVROLET/ONIX 10MT JOYE,BRANC/5532,17/18,157,11/1,13809445,11/02/20,,,,,,,
0567-JGB,VW/GOL 1.0,PRATA/6833,1/1,155,05/10,32275288,06/10/23,,,,,,,
0568-PQK,HONDA/CG 125 FAN KS,PRETA/2756,15/15,155,22/03,29242012,24/03/23,,,,,,,
0592-KBZ,HONDA/ML 125,VERM/2595,84/84,155,6/8,20592989,06/08/21,,,,,,,
0596-JJI,PEUGEOT/ 207HB XLINE,PRATA/3093,43779,157,11/11,13044945,09/12/19,,,,,,,
0619-OOA ,HONDA/ CIVIC LXR,PRATA/5353,14/14,157,19/11,13146430,18/12/19,,,,,,,
0629-JEX,VW/GOL 1.6 MI,VERM/5479,07/07,155,15/06,,16/06/22,,,,,,,
0629-JEX,VW/GOL 1.6 MI,VERM/5479,07/07,155,15/06,,16/06/22,,,,,,,
0648-JJO,HONDA /C 100 BIZ ,VERM/3301,01/01,155,07/08,31393037,09/08/2023,,,,,,,
0675-0GQ,	VW/GOL 1.6,VERMELHA/2168,13/13,157,28/3,9763744,10/05/19,,,,,,,
0675-HRV,SR/NOMA (REBOQUE),BRANC/0992,01/01,155,05/12,27669451,05/12/22,,,,,,,
0691-JFH,FIAT/SIENA ELX,CINZA/2279,02/02,157,18/4,14620283,19/04/20,,,,,,,
0691-JFH,FIAT/SIENA ELX,CINZA/2279,02/02,157,18/4,14620283,19/05/20,,,,,,,
0696-JHZ,FORD/FIESTA SEDAN1.6FLEX,PRETA/8092,43684,157,18/3,9901610,09/04/19,,,,,,,
0712-JKC,VW AMAROK CD 4X4 HIGH,BRANCA/4450,12,155,26/9,12563065,01/11/19,,,,,,,
0713-NFX,HONDA/C100 BIZ ES,VERM/8920,43956,155,17/12,17897796,16/01/21,,,,,,,
0764-PRZ,HYNDAI HB20 1.0M UNIQUE,BRANCA/7548,18/19,157,11/8,11536591,14/08/19,,,,,,,
0796-OGV,FIAT / STRADA ADVENT,VERM/8853,43810,157,27/10,12516110,28/10/19,,,,,,,
0799-KCA,FIAT/UNO ELETRONIC,AZUL/3505,93/94,155,15/10,38326252,28/10/24,,,,,,,
0830 EAE,FIAT/UNO MILLE ECONOMY,AZUL/6602,08/09,155,13/4,14548678,13/04/20,,,,,,,
0831-KCN,GM/CORSA SUPER ,BRANCA/8506,96/96,157,3/1,8850314,03/01/19,,,,,,,
0845-NWI,KASINSKI/SOFT,VERMELHA/1621,11/11,155,09/07,30930677,10/07/23,,,,,,,
0851-ONP,HONDA/CG 150 TITAN EX,PRETA/0315,14/14,155,07/12,27779475,12/12/22,,,,,,,
0852-KCO,GM/CORSA WIND,PRATA/5017,96,155,9/10,LOCALIZADO NO DF,03/01/19,,,,,,,
0857-NFD,YAMAHA/YBR 125E,PRETA/7798,43925,155,18/9,16586977,01/10/20,,,,,,,
0904-OGK,HONDA/CG150 FAN ESI,PRETA/5778,12/12,155,25/05,24892431,26/05/22,,,,,,,
0906-NFR,HONDA/ BIZ 125 ES,AZUL/2049,44717,155,23/2,23502962,24/02/22,,,,,,,
0909-HYC,I/FORD FUSION,PRATA/2725,43988,157,25/2,14004500,26/02/20,,,,,,,
0923-JFO,VW/7.100,BRANCA/0903,95/95,157,11/3,9554644,11/03/19,,,,,,,
0940-OHA,TOYOTA/COROLLA ALTIS,PRATA/3989,12/12,157,24/1,9042521,24/01/19,,,,,,,
0947-PRU,HONDA/ C110 BIZ ,VERM/2216,17/17,157,05/06,25096011,09/06/22,,,,,,,
0958-KEF,HONDA/CIVIC LX,PRATA/1731,00/00,155,1/2,14078453,11/03/19,,,,,,,
0967-NFX,HONDA 150 SPORT,PRETA/1833,06/06,157,13/2,18560792,08/03/21,,,,,,,
0976-KCI ,GM/CORSA WIND,BRANCA/0411,95/95,155,04/12,27966981,26/12/22,,,,,,,
0982-JUL,HONDA/C100 BIZ ES ,PRETA/0141,04/04,155,16/1,18039123,27/01/21,,,,,,,
0982-JUL,HONDA/C100 BIZ ES,PRETA/0141,44290,155,16/11,17897420,19/11/21,,,,,,,
0A24-SDK,HONDA/CG 160 FAN ,VERM/1192,24/24,157,22/06,36877196,20/07/24,,,,,,,
0B21-KCZ,VW/GOL PLUS MI,BRANC/3845,97/97,155,3/7,20162094,05/07/21,,,,,,,
0B35 NFV,HONDA/C100 BIZ ,VERM/3580,05/05,155,26/07,6444394,28/07/22,,,,,,,
0B61-NGU,,PRATA/2049,45480,155,45447,,,,,,,,,
0B94-HEW,FIAT PALIO FIRE FLEX,PRATA,44018,155,18/5,15053340,03/03/20,,,,,,,
0D53-IYB,HYUNDAY/HB 20 1.0 CONFORT,VERME/1907,44447,155,4/5,19373179,11/05/21,,,,,,,
0D84-KBW,VW/GOL ROLLING STONES,BRANCA/8478,95/95,155,10/10,26882029,11/10/22,,,,,,,
0F75-PQF,HONDA CG 150 START ,PRETA/4094,15/15,155,08/12,39192215,08/12/24,,,,,,,
0G89-RCL,TOYOTA/HILUX CDSRXA4FD,PRATA/8469,21/21,155,22/05,MG,23/05/23,,,,,,,
0H30-NVU,TOYOTA HILUX,PRATA/9130,10/11,157,30/10,38554121,30/10/24,,,,,,,
1003-PRO,HONDA/ BIZ 125,BRANCA/2786,19/19,155,07/05,35673757,07/05/24,,,,,,,
1007-NVO,HONDA/CB 300 R,PRETA/7874,11/11,157,1/5,14778082,25/05/20,,,,,,,
1026-KBC,FORD/PAMPA L,AZUL/8390,93/93,155,15/3,23810039,16/03/22,,,,,,,
1059-PQH,HONDA/CG 160 FAN,VERM/0781,16/17,155,11/03,40730030,13;03;25,,,,,,,
1063-NLT,HONDA/CBX 250 TWISTER,VERMELHA/2360,43320,155,18/10,12243336,05/05/20,,,,,,,
1091-NKZ,FORD/ECOSPORT XLT 1.6 FLEX,PRATA/7102,43716,157,17/11,12756599,07/10/19,,,,,,,
1098-NGM,HONDA/CG 125 FAN,VERM/3903,44383,155,23/10,21732737,24/10/21,,,,,,,
1137-OGS,HONDA CG 125 FAN KS,VERM/4600,44541,155,25/9,21545139,11/10/21,,,,,,,
1141-JNZ ,FORD/CARGO1415,BRANCA/1333,98/98,155,17/3,23901753,22/03/22,,,,,,,
1145-NGD,HONDA/CBX 250 TWISTER,PRATA/4028,44353,155,17/3,18719801,20/03/21,,,,,,,
1152-OGV,	HONDA/CG 150 FAN ESI,VERMELHA/5261,43811,157,12/4,10238142,17/11/19,,,,,,,
1164-JJX,HONDA/CG 150 TITAN ESD,PRETA/0771,43590,157,15/4,10047018,06/05/19,,,,,,,
1178-ONN,HONDA/FIT LX CVT,PRATA/4131,14/15,155,18/10,8303684,21/04/19,,,,,,,
1196-KCD,VW/GOL 1000L,BRANCA/5305,95/95,155,21/9,12063902,11/11/18,,,,,,,
1215-OMX,YAMAHA FACTOR YBR 125,VERM/9275,44907,155,25/1,23121609,30/01/22,,,,,,,
1219-FAS,VW/25.420 CTC 6X2,BRANCA\8233,14/14,157,25/10,8119462,23/09/19,,,,,,,
1246-KEO,HONDA/CG TITAN 125 ES,PRATA/4610,02/02,155,11/09,32739766,06/11/23,,,,,,,
1273-NLD,SHINERAY XY 110V,AZUL/3213,07/07,155,24/2,20104634,01/07/21,,,,,,,
1287-ONT,YAMAHA/150 FAZER ED,PRETA/0553,13/14,155,26/12,17685406,26/10/18,,,,,,,
1316-NWF, HONDA/CG 150 FAN ESI ,PRETA/1465,43780,155,11/3,LOCALIZADA NO DF,30/12/20,,,,,,,
1324-JEF,VW/GOL 1000I,VERME/7286,95/95,155,18/05,30153873,20/05/23,,,,,,,
1326-HCI,FIAT/PALIO FIRE,PRATA/9547,43224,157,17/10,8202075,21/05/19,,,,,,,
1334-JVM,HONDA / CG 150 TITAN ES,PRETA/6829,43685,155,13/11,12912517,01/11/18,,,,,,,
1336-NFR,CITROEN/C3 GLX 1.4,PRETA/3124,43987,155,25/3,14348909,25/11/19,,,,,,,
1342-NLR,YAMAHA/ FACTOR YBR 125,PRATA/4146,08/09,157,28/9,12128484,25/03/20,,,,,,,
1362-NLG,DAFRA/SPEED 150,VERM/4693,44082,155,24/8,16848745,24/10/20,,,,,,,
1366-JZB,GM/CORSA WIND ,AZUL/8724,00/00,155,21/07,25798631,28/07/22,,,,,,,
1397-KEF,HONDA/ C100 BIZ,PRETA/8255,00/00,155,31/03,29420787,04/04/23,,,,,,,
1403-OGO,HONDA/CG 150 FAN,PRETA/6414,12/12,155,13/10,22171752,23/11/21,,,,,,,
1404-PQR,BIZ C/100 ES ,VERM/2421,15/15,155,7/9,21052910,08/09/21,,,,,,,
1405-PRO,HONDA/BIZ 125,LARANJA/4148,18/18,155,6/11,17011449,18/10/21,,,,,,,
1417-JQB,M.BENZ/L 1620,BRANCA/1532,02/02,155,13/4,14574673,15/04/20,,,,,,,
1434-JKG,MMC/PAJERO,VERDE/3180,12/13,155,8/12,8933270,15/04/20,,,,,,,
1438-PRQ,	HONDA/BIZ 125,PRATA/8460,18/19,157,20/3,9671505,13/01/19,,,,,,,
1442-GPF,FIAT/UNO ELETRONIC,BRANC/4742,93/93,155,01/10,38116204,02/10/24,,,,,,,
1444-NJX,HONDA / CG 125 FAN ,VERM/,09/09,155,15/01,28244893,16/01/23,,,,,,,
1449-PRB,HONDA/CG 160 TITAN,PRATA/7101,19/19,157,03/04,41066977,03/04/25,,,,,,,
1472-BPE,VW/KOMBI,BRANCA/0142,92/92,155,07/10,32335879,10/10/23,,,,,,,
1492-KFC,HONDA/CG 125 TITAN KS,VERME/3024,03/03,155,05/12,22762218,04/01/22,,,,,,,
1522-NFH,FIAT/STRADA ADV,PRATA/8428,04/04,157,28/1,13684631,01/02/20,,,,,,,
1562-NFG,FIAT/UNO MILLE FIRE,PRETA/2693,04/04,157,13/2,18442633,27/02/21,,,,,,,
1583-NFH,HONDA/BIZ C100 ES,VERM/8162,04/04,155,7/12,22390931,08/12/21,,,,,,,
1596-HSM,HONDA/CBX TWISTER 250 ,PRATA/1824,05/05,155,17/10,22719087,31/12/21,,,,,,,
1597-NGQ,GM/CLASSIC LIFE,BEGE/5293,07/08,155,23/4,19180521,23/04/21,,,,,,,
1625-NFD,YAMAHA/YBR 125 ED,PRETA/1623,04/04,155,1/11,32699316,03/11/23,,,,,,,
1628-NLI,JTA/SUZUKI INTRUDER 125,PRETA/4598,44843,155,24/2,23565093,01/03/22,,,,,,,
1653-AKT,FIAT/PALIO FIRE ,BRANCA/9886,44258,155,17/4,19067756,17/04/21,,,,,,,
1664-KCH,HONDA / ML 125,VERM/8402,44320,155,26/2,19365863,10/05/21,,,,,,,
1668-JFR,HONDA/ CG 125 TITAN ES,VERDE/1039,99/00,155,6/7,15553240,01/02/20,,,,,,,
1674-NGH,HONDA/BIZ 125 KS,PRATA/9655,06/06,155,31/1,18231317,11/10/21,,,,,,,
1674-OMM,CITROEN/ C3 EXCLUSIV,VERM/0314,13/14,157,22/9,12063759,07/07/20,,,,,,,
1709-KCN,VW/GOL CL ,CINZA/9217,88/89,155,5/2,18306475,23/09/19,,,,,,,
1738-KDK,VW GOL MI,BRANC/1425,98/99,155,24/2,18432295,26/02/21,,,,,,,
1742-JJY,HONDA/BIZ 125 ES,PRATA/9069,06/06,155,12/02,34311893,14/02/24,,,,,,,
1758-KCM,VW/ GOL 1000 ,AZUL/6771,95/95,155,2/6,19710450,03/06/21,,,,,,,
1782-NVP,HONDA BIZ/125 ES,VERM/4273,10/10,157,11/4,14785147,16/01/00,,,,,,,
1784-NWF,HONDA/CG 150 FAN ESI,PRATA/4724,44146,155,2/9,16260049,05/09/20,,,,,,,
1793-NKO,YAMAHA/YBR 125K ,PRATA/7956,08/08,157,8/11,17080048,05/09/20,,,,,,,
1796-PRP,	HYUNDAI/HB20S 1.6M COMF,BRANCA/2835,18/19,157,25/4,10126210,11/11/20,,,,,,,
1820-PQU,TOYOTA HILUX CD,PRATA/5102,18/18,157,31/10,12584156,27/04/19,,,,,,,
1857-QTQ,HONDA/CG 160 TITAN,VERM/7626,19/20,157,07/07,25519526,,,,,,,,
1880-NWN,NISSAN/SENTRA (ABADIANIA),PRETA/0251,43779,157,4/5,10358328,02/11/19,,,,,,,
1887-NFT,YAMAHA/YBR 125K,PRETA/6229,05/06,155,02/07,30928288,09/07/23,,,,,,,
1889-NKH,HONDA CG 125 FAN,PRETA/4421,07/08,155,13/2,34317788,15/02/24,,,,,,,
1895-JJO,HONDA/ CG 125 TITAN KS,PRATA/4700,00/00,155,16/2,34457503,23/02/24,,,,,,,
1896-HML,GM/ PRISMA 1.4 LT,PRETA/4396,11/12,157,07/08,31395640,10/08/23,,,,,,,
1913-KDV,GM CORSA WIND ,VERM/7550,98/99,155,18/08,37376627,19/08/24,,,,,,,
1920-NFK,HONDA/CG 125 TITAN ,VERM/1796,44654,155,3/3,23884639,21/03/22,,,,,,,
1922-KBC,HONDACG125 TODAY,AZUL/5650,91/92,155,2/5,10187000,15/04/19,,,,,,,
1935-NFF,HONDA/C100 BIZ,AZUL/3501,04/04,155,8/6,15338997,02/05/19,,,,,,,
1961-JJY,HONDA/CG 150 TITAN ES,PRETA/5560,05/05,155,19/06,30707381,25/06/23,,,,,,,
1986-NGF,GM MONTANA CONQUEST,BRANC/7266,07/08,155,15/01,33946287,22/01/24,,,,,,,
1988-GZD,FIAT/ FIORINO,CINZA/0982,00/01,155,23/6,15397603,24/06/20,,,,,,,
1A17-RBQ,HONDA/CG 160 FAN ,PRATA/6630,20/21,155,29/12,17681695,30/12/20,,,,,,,
1A25-NJQ,HONDA/ CG 150 FAN ,VERM/1584,10/10,155,15/11,27400739,16/11/22,,,,,,,
1A97-PAT (CORUMBÁ),HONDA CG160 FAN,VERM/1388,16/17,155,12/01,33794864,13/01/24,,,,,,,
1C26-QXR,RENAUT/LOGAN,BRANCA/5535,20/21,157,24/11,38954376,24/11/24,,,,,,,
1C37-QKJ,VW/NOVO GOL TL MBV,PRATA/9219,17/18,157,6/3,18545482,07/03/21,,,,,,,
1C75-KFB,HONDA/CG125 TITAN,VERM/5800,03/03,155,02/11,38621757,03/11/24,,,,,,,
1C87-NKN,HONDA/ CG 150 TITAN MIX,VERM/3531,09/10,155,28/11,33348578,15/12/23,,,,,,,
1D76-RBZ,YAMAHA N MAX 160,PRETA/6045,21/22,155,24/04,41478711,28/04/25,,,,,,,
1D89-JIQ,FORD/ECOSPORT,PRETA/7904,11/12,155,20/04,24435111,26/04/22,,,,,,,
1E10-MXA,GMC/3500HD ,PRET/4638,00/01,155,,38894961,20/11/24,,,,,,,
1E76-PWU,HYUNDAI/HB20S 1.6A COMF,PRETA/9380,15/15,155,14/01,28252964,16/01/23,,,,,,,
1E92-SCY,HONDA/BIZ 110,VERM/1511,23/23,157,08/02,40174100,,,,,,,,
1F23-PAR,HONDA CG 160 FAN,PRETA/2834,16/16,155,14/05,35789438,14/05/24,,,,,,,
1F41-KEV,YAMAHA/CRYPTON T105E,VERDE/0531,44622,155,21/2,2348799,23/02/22,,,,,,,
1G71-KJS,HONDA CIVIC,PRATA\3271,07\07,,,36449688,25\06\24,,,,,,,
1H77-QAC,I/LAND ROVER DISC SPT,AZUL/3773,15/15,155,8/4,19022212,14/04/21,,,,,,,
1I43-SCJ,YAMAHA/YBR150 FACTOR,PRETA/9947,,,,Recuperada na Bahia,,,,,,,,
1I94-NFS,GM/CELTA 2P SPIRIT,PRATA,05/05,157,6/9,22445439,12/12/21,,,,,,,
2006-KEK,VECTRA GLS,VERDE/8188,99/99,155,29/12,27999840,29/12/22,,,,,,,
2039-NKH,FORD FIESTA SEDAN,PRATA/8354,07/08,168,22/4,14669669,30/12/20,,,,,,,
2074-NKT,HYUNDAI/HR HDB ,BRANCA/8604,08/09,155,28/9,12137988,23/04/20,,,,,,,
2110-PQA,CHEV/PRISMA 1.4AT LT,BRANCA/2011,14/15,157,01/07,25435702,,,,,,,,
2115-JHA,VW/ FOX 1.0,PRATA/7260,06/06,155,14/04,DF,20/04/22,,,,,,,
2125-PQW,HONDA/ CG 160 TITAN,BRANC/5918,16/16,155,27/11,27587095,29/11/22,,,,,,,
2136-NKJ,HONDA / BIZ 125 ES,VERM/5919,44113,155,29/9,,29/09/19,,,,,,,
2141-PQQ,FORD/KA SEL 1.0 HA ,PRATA/1300,16/16,157,21/2,9336516,21/02/19,,,,,,,
2145-NKJ,VW/FOX 1.0 ,CINZA/9642,43716,157,5/1,8861353,21/02/19,,,,,,,
2147-NJX,HONDA/CG 125 FAN ,PRETA/1466,44781,155,31/1,23235077,06/02/22,,,,,,,
2169-JJY,VW GOL 1.0 ,BRANCA/1803,43987,155,10/12,17437999,05/01/19,,,,,,,
2173-NBT,HONDA/C100 BIZ ,AZUL/1378,99/99,155,24/06,30703258,25/06/23,,,,,,,
2181-NGG,HONDA CG 125 FAN,PRETA/3936,06/06,155,09/11,27320903,10/11/22,,,,,,,
2198-NGO,YAMAHA / YBR 125 E ,VERM/8615,7/8,155,06/06,36238534,11/06/24,,,,,,,
2206-PQR,HONDA /CG 160 FAN ESDI,VERM/6632,15/16,157,28/10,38880178,19/11/24,,,,,,,
2228-JJK,HONDA BIZ 125,PRETA/9175,06/06,157,30/05,36136891,04/06/24,,,,,,,
2241-KEY,HONDA BIZ C100 ( Silvania),AZUL/3693,03/03,157,29/07,25818576,30/07/22,,,,,,,
2245-PXK,RENAULT/SANDERO (SP),PRATA/0716,16/16,155,8/7,21470304,06/10/21,,,,,,,
2280-MVQ,GM/CORSAWIND,VERDE/6550,97/98,157,26/9,16552131,28/09/20,,,,,,,
2287-PAI,FORD FIESTA HA SE,PRATA/3258,14/15,157,3/6,19719422,04/06/21,,,,,,,
2292-KBC,VW/PASSAT LSE,AZUL/6276,86/87,155,14/07,25608423,15/07/22,,,,,,,
2311-NKN,HONDA/CG 150 SPORT,VERM/2752,08/08,155,3/10,18095019,01/02/21,,,,,,,
2341-NWQ,HONDA/CG 125 FAN KS,ROXA/1024,11/11,155,28/01,28787174,22/02/23,,,,,,,
2381-JTO,FIAT/PALIO EDX,VERDE/2289,97/97,155,15/8,16022198,01/02/20,,,,,,,
2401-OGM,FIAT SIENA EL FLEX,PRATA/9878,11/12,157,25/2,14009850,16/08/20,,,,,,,
2420-OMW,CHEVROLET CRUZE LT (GYN),BRAN/4380,13/13,157,23/12,13390558,27/02/20,,,,,,,
2449-OVQ,HONDA/CG 150 FAN,VERM/3242,13/14,155,22/02,40852407,21/03/25,,,,,,,
2458-RBK,YAMAHA/YBR 150 FACTOR,BRANCA/5560,19/20,155,29/12,39690146,08/01/25,,,,,,,
2476-KES,HONDA/BIZ C100,VERM/7762,02/02,155,04/12,39237601,11/12/24,,,,,,,
2484-NKY,HONDA/BIZ 125 KS ,CINZA/3089,08/08,155,15/04,24286784,16/04/22,,,,,,,
2493-JFK,VW / GOLF 2.0,AZUL/5048,00/00,157,28/1,158158,08/01/20,,,,,,,
2496-OGR,YAMAHA/FACTOR YBR125 ED,PRETA/8524,11/11,155,23/03,23942549,24/03/22,,,,,,,
2499-NKX,HONDA/CG 150 FAN ESI,PRETA/8514,44876,157,6/2,23709478,09/03/22,,,,,,,
2532-BRC,FIAT/UNO 1.6 MPI,AZUL/0288,94/95,155,31/1,23202140,04/02/22,,,,,,,
2566-KEN,HONDA/BIZ ES,VERME/2438,2002,155,12/12,13081311,02/01/20,,,,,,,
2566-KEN,HONDA/BIZ C 100 ES ,VERM/2438,02/02,155,2/1,13324474,05/08/20,,,,,,,
2574-PQK,CHEVROLET/S10 LT FD4,BRANCA/5044,15/15,155,17/9,11998435,13/12/19,,,,,,,
2598-NSM,VW/VOYAGE 1.0,CINZA/8085,09/10,155,08/04,29515376,10/04/23,,,,,,,
2603-JMI,GM/CORSA SEDAN,PRATA/3068,43498,157,8/3,9533797,19/09/19,,,,,,,
2639-NVZ,HONDA/BIZ 125 ES,PRETA/3867,44146,155,6/11,17040549,10/03/19,,,,,,,
2657-NWD,HONDA/CG 125 CARGO ,BRANC/8676,10/10,155,22/02,34726722,11/03/24,,,,,,,
2673-HDU,HONDA/C100 BIZ,AZUL/5416,05/05,155,09/11,27375104,14/11/22,,,,,,,
2690-OOC,NISSAN/FRONTIER SL 4X4,PRATA/8992,13/14,155,19/10,9427968,28/12/19,,,,,,,
2694-KCB,VW/GOL CLI,VERDE/     ,95/95,155,23/5,19548577,23/05/21,,,,,,,
2718-OGL,FIAT PALIO ATTRACT 1.0,CINZA/8510,12/13,155,28/12,22765788,04/01/22,,,,,,,
2725-OTU,HONDA/NXR150 BROS ES,VERM/8338,14/14,155,19/06,30619851,20/06/23,,,,,,,
2752-HOM,FIAT PALIO ED,CINZA/8018,97/97,157,01/04,24071215,02/04/22,,,,,,,
2763-JHS,FIAT/PALIO ELX,PRATA/7698,09/10,157,4/1,17761899,06/01/21,,,,,,,
2763-OND,HONDA/ CG 125 FAN KS,VERM/3536,13/13,155,02/05,29911780,05/05/23,,,,,,,
2767-NVV,	I/HYUNDAI I30 2.0,PRETA/1068,43779,157,8/3,9518587,05/01/21,,,,,,,
